ncbi_id,reactome_id,reactome_name
100529261,R-HSA-9953170,GBP-mediated host defense
10053,R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression
10053,R-HSA-2132295,MHC class II antigen presentation
10053,R-HSA-432720,Lysosome Vesicle Biogenesis
10053,R-HSA-432722,Golgi Associated Vesicle Biogenesis
100532731,R-HSA-2559580,Oxidative Stress Induced Senescence
100532731,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins
100532731,R-HSA-3899300,SUMOylation of transcription cofactors
100532731,R-HSA-4551638,SUMOylation of chromatin organization proteins
100532731,R-HSA-4570464,SUMOylation of RNA binding proteins
100532731,R-HSA-4655427,SUMOylation of DNA methylation proteins
100532731,R-HSA-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
100532731,R-HSA-8943724,Regulation of PTEN gene transcription
100532731,R-HSA-8953750,Transcriptional Regulation by E2F6
100533177,R-HSA-6805567,Keratinization
100534599,R-HSA-6781823,Formation of TC-NER Pre-Incision Complex
100534599,R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER)
100534599,R-HSA-6782135,Dual incision in TC-NER
100534599,R-HSA-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER
100534599,R-HSA-72163,mRNA Splicing - Major Pathway
100534599,R-HSA-9918481,Dengue Virus-Host Interactions
10054,R-HSA-3065676,SUMO is conjugated to E1 (UBA2:SAE1)
10054,R-HSA-3065678,"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"
10055,R-HSA-3065676,SUMO is conjugated to E1 (UBA2:SAE1)
10055,R-HSA-3065678,"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"
10056,R-HSA-379716,Cytosolic tRNA aminoacylation
10057,R-HSA-2142845,Hyaluronan metabolism
10057,R-HSA-382556,ABC-family proteins mediated transport
10057,R-HSA-9748787,Azathioprine ADME
10057,R-HSA-9753281,Paracetamol ADME
10058,R-HSA-1369007,Mitochondrial ABC transporters
10058,R-HSA-5683371,Defective ABCB6 causes MCOPCB7
10059,R-HSA-75153,Apoptotic execution phase
1006,R-HSA-418990,Adherens junctions interactions
1006,R-HSA-9833576,CDH11 homotypic and heterotypic interactions
10060,R-HSA-1296025,ATP sensitive Potassium channels
10060,R-HSA-382556,ABC-family proteins mediated transport
10060,R-HSA-5578775,Ion homeostasis
10060,R-HSA-5678420,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome"
10061,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes
10062,R-HSA-1989781,PPARA activates gene expression
10062,R-HSA-383280,Nuclear Receptor transcription pathway
10062,R-HSA-4090294,SUMOylation of intracellular receptors
10062,R-HSA-8866427,VLDLR internalisation and degradation
10062,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis
10062,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
10062,R-HSA-9031525,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 
10062,R-HSA-9031528,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose
10062,R-HSA-9623433,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis
10062,R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 
10063,R-HSA-1268020,Mitochondrial protein import
10063,R-HSA-9864848,Complex IV assembly
10068,R-HSA-9008059,Interleukin-37 signaling
10068,R-HSA-9012546,Interleukin-18 signaling
1007,R-HSA-418990,Adherens junctions interactions
10071,R-HSA-5083625,Defective GALNT3 causes HFTC
10071,R-HSA-5083632,Defective C1GALT1C1 causes TNPS
10071,R-HSA-5083636,Defective GALNT12 causes CRCS1
10071,R-HSA-5621480,Dectin-2 family
10071,R-HSA-913709,O-linked glycosylation of mucins
10071,R-HSA-977068,Termination of O-glycan biosynthesis
10072,R-HSA-8951664,Neddylation
10072,R-HSA-9755511,KEAP1-NFE2L2 pathway
10073,R-HSA-191859,snRNP Assembly
10075,R-HSA-6798695,Neutrophil degranulation
10075,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation
10076,R-HSA-1433557,Signaling by SCF-KIT
10079,R-HSA-936837,Ion transport by P-type ATPases
1008,R-HSA-418990,Adherens junctions interactions
10081,R-HSA-72165,mRNA Splicing - Minor Pathway
10082,R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis
10082,R-HSA-2022928,HS-GAG biosynthesis
10082,R-HSA-2024096,HS-GAG degradation
10082,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type"
10082,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD
10082,R-HSA-3656237,Defective EXT2 causes exostoses 2
10082,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
10082,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1
10082,R-HSA-9694614,Attachment and Entry
10082,R-HSA-975634,Retinoid metabolism and transport
10082,R-HSA-9820960,Respiratory syncytial virus (RSV) attachment and entry
10082,R-HSA-9833110,RSV-host interactions
10082,R-HSA-9918481,Dengue Virus-Host Interactions
10082,R-HSA-9918485,Dengue Virus Attachment and Entry
10083,R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea
10083,R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea
10084,R-HSA-72163,mRNA Splicing - Major Pathway
10084,R-HSA-9918481,Dengue Virus-Host Interactions
10085,R-HSA-9926550,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition"
100861532,R-HSA-427413,NoRC negatively regulates rRNA expression
100861532,R-HSA-6790901,rRNA modification in the nucleus and cytosol
100861532,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol
